City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
laguna,38.421,-121.4238,48.06,39.0,1.0,1.34,US,1629948078.0
vaini,-21.2,-175.2,44.27,64.0,20.0,6.69,TO,1629948078.0
tessalit,20.1986,1.0114,47.52,51.0,9.0,4.29,ML,1629948078.0
khatanga,71.9667,102.5,33.98,73.0,100.0,5.91,RU,1629948078.0
busselton,-33.65,115.3333,40.66,76.0,77.0,10.72,AU,1629948079.0
ambovombe,-25.1667,46.0833,42.37,90.0,3.0,2.98,MG,1629948079.0
pacific grove,36.6177,-121.9166,43.25,86.0,90.0,1.34,US,1629948081.0
avarua,-21.2078,-159.775,43.13,88.0,90.0,1.03,CK,1629947909.0
new norfolk,-42.7826,147.0587,38.08,78.0,99.0,1.34,AU,1629948081.0
dikson,73.5069,80.5464,33.62,83.0,100.0,6.83,RU,1629948082.0
husavik,66.0449,-17.3389,40.31,79.0,49.0,4.92,IS,1629948082.0
ocampo,21.65,-101.5,39.63,82.0,62.0,6.72,MX,1629948082.0
bredasdorp,-34.5322,20.0403,37.34,87.0,28.0,2.06,ZA,1629948082.0
pavilosta,56.8879,21.1859,39.21,93.0,98.0,4.41,LV,1629948084.0
provideniya,64.3833,-173.3,35.92,87.0,90.0,9.0,RU,1629948084.0
rikitea,-23.1203,-134.9692,44.32,63.0,52.0,6.87,PF,1629948084.0
ushuaia,-54.8,-68.3,32.45,64.0,40.0,0.0,AR,1629947888.0
yellowknife,62.456,-114.3525,41.05,63.0,20.0,3.09,CA,1629948000.0
atuona,-9.8,-139.0333,45.93,78.0,23.0,6.95,PF,1629948085.0
strezhevoy,60.7333,77.5889,43.66,57.0,2.0,2.73,RU,1629948085.0
bonavista,48.6499,-53.1147,39.75,86.0,93.0,4.23,CA,1629948086.0
hambantota,6.1241,81.1185,47.73,72.0,23.0,7.35,LK,1629948086.0
port elizabeth,-33.918,25.5701,41.29,82.0,0.0,1.54,ZA,1629948086.0
longyearbyen,78.2186,15.6401,35.84,70.0,75.0,2.57,SJ,1629948087.0
jamestown,42.097,-79.2353,44.67,82.0,1.0,1.34,US,1629948087.0
qaanaaq,77.484,-69.3632,33.59,95.0,100.0,3.89,GL,1629948087.0
luderitz,-26.6481,15.1594,38.44,87.0,0.0,1.73,NA,1629948087.0
lima,-12.0432,-77.0282,40.41,82.0,90.0,4.63,PE,1629947827.0
thompson,55.7435,-97.8558,36.49,81.0,1.0,0.0,CA,1629948088.0
severo-kurilsk,50.6789,156.125,39.57,81.0,84.0,4.32,RU,1629948088.0
georgetown,5.4112,100.3354,48.09,80.0,20.0,0.45,MY,1629948035.0
arraial do cabo,-22.9661,-42.0278,44.28,86.0,0.0,14.0,BR,1629948089.0
lensk,60.7253,114.9278,40.39,85.0,93.0,5.32,RU,1629948089.0
tuktoyaktuk,69.4541,-133.0374,37.0,93.0,90.0,6.17,CA,1629948089.0
ust-maya,60.4167,134.5333,40.91,59.0,100.0,2.45,RU,1629948090.0
cape town,-33.9258,18.4232,39.99,85.0,75.0,3.58,ZA,1629948015.0
berlevag,70.8578,29.0864,35.33,85.0,47.0,4.61,NO,1629948090.0
dabola,10.75,-11.1167,43.54,93.0,100.0,1.02,GN,1629948090.0
nikolskoye,59.7035,30.7861,38.18,79.0,100.0,4.08,RU,1629948091.0
mahebourg,-20.4081,57.7,42.88,94.0,40.0,2.57,MU,1629948092.0
port alfred,-33.5906,26.891,43.09,33.0,36.0,3.89,ZA,1629948092.0
mocuba,-16.8392,36.9856,42.35,91.0,0.0,1.11,MZ,1629948093.0
guangyuan,32.442,105.823,43.73,83.0,100.0,1.78,CN,1629948093.0
punta arenas,-53.15,-70.9167,33.7,81.0,90.0,3.09,CL,1629948093.0
mar del plata,-38.0023,-57.5575,35.89,76.0,0.0,4.12,AR,1629948094.0
puerto ayora,-0.7393,-90.3518,43.28,91.0,89.0,3.58,EC,1629948094.0
nhulunbuy,-12.2333,136.7667,48.3,51.0,20.0,8.75,AU,1629948094.0
semirara,12.0697,121.3986,46.28,88.0,100.0,6.93,PH,1629948095.0
port blair,11.6667,92.75,46.33,84.0,100.0,6.95,IN,1629948095.0
awbari,26.5921,12.7805,46.4,26.0,0.0,3.27,LY,1629948095.0
kieta,-6.2167,155.6333,48.09,72.0,65.0,2.65,PG,1629948095.0
carnarvon,-24.8667,113.6333,44.24,64.0,36.0,6.17,AU,1629948096.0
upernavik,72.7868,-56.1549,34.8,91.0,100.0,8.24,GL,1629948096.0
nanortalik,60.1432,-45.2371,35.95,91.0,100.0,1.86,GL,1629948096.0
yulara,-25.2406,130.9889,42.51,16.0,0.0,3.09,AU,1629948097.0
katsuura,35.1333,140.3,50.37,72.0,100.0,1.35,JP,1629948097.0
hobart,-42.8794,147.3294,38.19,76.0,75.0,0.89,AU,1629948019.0
kapaa,22.0752,-159.319,48.21,67.0,75.0,1.34,US,1629948097.0
micheweni,-4.9667,39.8333,44.76,74.0,2.0,4.87,TZ,1629948098.0
hobyo,5.3505,48.5268,45.96,86.0,54.0,9.24,SO,1629948098.0
porto novo,6.4965,2.6036,46.39,91.0,75.0,2.06,BJ,1629948098.0
qaqortoq,60.7167,-46.0333,36.6,89.0,100.0,1.86,GL,1629948099.0
albany,42.6001,-73.9662,45.28,89.0,53.0,1.39,US,1629948039.0
sisimiut,66.9395,-53.6735,35.1,93.0,100.0,6.9,GL,1629948099.0
kahului,20.8947,-156.47,48.12,48.0,40.0,8.23,US,1629948099.0
fairbanks,64.8378,-147.7164,40.33,88.0,40.0,1.54,US,1629947996.0
narsaq,60.9167,-46.05,36.51,76.0,100.0,0.74,GL,1629948100.0
alugan,12.2188,125.4808,45.93,89.0,100.0,2.79,PH,1629948100.0
san pedro,14.35,121.0167,47.85,78.0,99.0,3.5,PH,1629948100.0
hermanus,-34.4187,19.2345,39.68,80.0,30.0,8.36,ZA,1629948101.0
chabahar,25.2919,60.643,47.17,79.0,3.0,0.6,IR,1629948101.0
coahuayana,18.7333,-103.6833,46.82,89.0,83.0,0.81,MX,1629948102.0
bluff,-46.6,168.3333,36.57,89.0,100.0,7.97,NZ,1629948102.0
russell,32.3502,-85.1999,44.77,91.0,20.0,0.0,US,1629948102.0
ponta do sol,32.6667,-17.1,44.97,75.0,16.0,0.72,PT,1629948103.0
acapulco,16.8634,-99.8901,45.63,91.0,100.0,2.59,MX,1629948103.0
wilmington,34.2257,-77.9447,47.41,88.0,1.0,0.0,US,1629947856.0
artemovsk,49.8406,36.0417,41.55,56.0,40.0,2.86,UA,1629948103.0
east london,-33.0153,27.9116,43.14,34.0,44.0,4.67,ZA,1629948104.0
sandviken,60.6167,16.7667,38.0,97.0,100.0,6.79,SE,1629948104.0
beringovskiy,63.05,179.3167,37.74,84.0,100.0,6.55,RU,1629948104.0
sharjah,25.3573,55.4033,50.42,68.0,0.0,1.54,AE,1629948105.0
bereda,43.2686,-7.5406,41.74,100.0,100.0,0.58,ES,1629948105.0
ulladulla,-35.35,150.4667,40.98,56.0,99.0,4.9,AU,1629948105.0
sao miguel do araguaia,-13.275,-50.1628,47.26,25.0,11.0,1.04,BR,1629948106.0
ponta delgada,37.7333,-25.6667,42.78,72.0,20.0,2.57,PT,1629948106.0
urusha,54.05,122.9,39.39,82.0,100.0,2.62,RU,1629948106.0
tuatapere,-46.1333,167.6833,36.57,89.0,100.0,5.26,NZ,1629948106.0
hamilton,39.1834,-84.5333,46.13,93.0,1.0,1.54,US,1629948015.0
mezhdurechenskiy,59.6,65.9333,43.27,68.0,96.0,1.94,RU,1629948107.0
halifax,44.6453,-63.5724,44.74,85.0,71.0,3.09,CA,1629948001.0
barrow,71.2906,-156.7887,34.78,87.0,90.0,6.17,US,1629948107.0
asfi,32.2994,-9.2372,43.12,84.0,0.0,3.55,MA,1629948108.0
cidreira,-30.1811,-50.2056,40.64,97.0,100.0,5.88,BR,1629948108.0
santa marta,11.2408,-74.199,47.73,90.0,75.0,1.54,CO,1629948108.0
hilo,19.7297,-155.09,46.13,81.0,50.0,0.45,US,1629948109.0
bubaque,11.2833,-15.8333,46.67,82.0,100.0,5.58,GW,1629948109.0
kodiak,57.79,-152.4072,38.42,88.0,100.0,1.04,US,1629948109.0
tonaya,19.7833,-103.9667,45.37,79.0,49.0,0.97,MX,1629948110.0
arman,59.7,150.1667,38.79,96.0,100.0,2.19,RU,1629948110.0
kisangani,0.5167,25.2,43.83,84.0,0.0,1.03,CD,1629948110.0
saint-philippe,-21.3585,55.7679,41.33,75.0,34.0,3.13,RE,1629948111.0
poum,-20.2333,164.0167,45.4,76.0,5.0,9.05,NC,1629948111.0
liverpool,53.4106,-2.9779,41.81,86.0,20.0,1.03,GB,1629947947.0
abu samrah,35.3029,37.1841,45.04,52.0,0.0,2.54,SY,1629948111.0
mataura,-46.1927,168.8643,36.47,73.0,100.0,2.48,NZ,1629948112.0
datong,40.0936,113.2914,43.64,38.0,2.0,4.35,CN,1629948112.0
makakilo city,21.3469,-158.0858,48.21,54.0,20.0,5.66,US,1629948112.0
najran,17.4924,44.1277,45.53,31.0,3.0,1.63,SA,1629948113.0
suba,10.8438,121.0102,46.84,84.0,100.0,9.12,PH,1629948113.0
ovre ardal,61.3167,7.8,36.29,87.0,8.0,2.97,NO,1629948113.0
lebu,-37.6167,-73.65,37.24,85.0,75.0,6.61,CL,1629948114.0
touros,-5.1989,-35.4608,44.5,80.0,33.0,6.83,BR,1629948114.0
necochea,-38.5473,-58.7368,37.03,59.0,92.0,5.91,AR,1629948070.0
virginia beach,36.8529,-75.978,47.13,92.0,1.0,0.0,US,1629947467.0
chivasso,45.1894,7.8872,43.33,67.0,0.0,1.03,IT,1629948114.0
mizan teferi,6.9833,35.5833,41.08,81.0,67.0,1.19,ET,1629948115.0
pevek,69.7008,170.3133,32.47,99.0,100.0,5.64,RU,1629948115.0
saskylakh,71.9167,114.0833,33.94,95.0,100.0,9.68,RU,1629948115.0
honda,5.2086,-74.7358,45.61,92.0,100.0,1.2,CO,1629948116.0
lubao,14.9167,120.55,48.09,65.0,100.0,3.07,PH,1629948116.0
sitka,57.0531,-135.33,40.86,77.0,90.0,1.54,US,1629948116.0
hofn,64.2539,-15.2082,38.73,97.0,75.0,5.89,IS,1629948117.0
san joaquin,37.9333,-121.3011,47.16,41.0,1.0,5.66,US,1629948117.0
namibe,-15.1961,12.1522,41.37,67.0,0.0,4.73,AO,1629948117.0
norman wells,65.282,-126.8329,39.79,88.0,75.0,2.06,CA,1629948117.0
tadine,-21.55,167.8833,45.39,69.0,12.0,6.6,NC,1629948118.0
balkhash,46.844,74.9804,45.52,38.0,0.0,6.0,KZ,1629948118.0
whitehorse,60.7161,-135.0538,39.74,82.0,90.0,2.06,CA,1629947908.0
edd,13.9297,41.6925,49.96,62.0,100.0,0.72,ER,1629948119.0
buchanan,5.8808,-10.0467,45.24,92.0,100.0,0.35,LR,1629948119.0
talakan,50.3167,130.3667,45.07,80.0,100.0,2.81,RU,1629948119.0
savinka,50.0785,47.0994,41.58,45.0,6.0,5.25,RU,1629948119.0
torbay,47.6666,-52.7314,39.89,90.0,90.0,4.12,CA,1629948120.0
slave lake,55.2834,-114.769,41.44,51.0,1.0,3.6,CA,1629948120.0
toro,4.6117,-76.0814,43.88,96.0,100.0,0.6,CO,1629948120.0
ostrovnoy,68.0531,39.5131,35.29,69.0,33.0,2.33,RU,1629948121.0
comodoro rivadavia,-45.8667,-67.5,35.29,65.0,75.0,4.12,AR,1629948121.0
san jose,37.3394,-121.895,44.37,67.0,1.0,1.79,US,1629947336.0
ilo,-17.6394,-71.3375,40.27,82.0,74.0,5.13,PE,1629948121.0
lata,40.1629,-8.3327,42.82,94.0,98.0,0.53,PT,1629948122.0
khani,41.9563,42.9566,41.87,63.0,67.0,2.18,GE,1629948122.0
cabo san lucas,22.8909,-109.9124,49.78,71.0,45.0,2.68,MX,1629947912.0
kantunilkin,21.0917,-87.45,47.51,94.0,12.0,1.55,MX,1629948122.0
vao,-22.6667,167.4833,44.05,77.0,45.0,6.15,NC,1629948123.0
cherskiy,68.75,161.3,37.22,62.0,94.0,5.13,RU,1629948123.0
jaggayyapeta,16.9,80.1,48.69,67.0,100.0,2.02,IN,1629948124.0
bethel,41.3712,-73.414,45.95,87.0,1.0,0.0,US,1629948124.0
souillac,-20.5167,57.5167,42.91,94.0,40.0,2.57,MU,1629948124.0
saldanha,-33.0117,17.9442,39.24,94.0,74.0,8.8,ZA,1629948125.0
bay roberts,47.5999,-53.2648,40.13,86.0,100.0,2.68,CA,1629948126.0
chuy,-33.6971,-53.4616,37.94,86.0,98.0,4.2,UY,1629948127.0
hasaki,35.7333,140.8333,50.46,75.0,100.0,2.32,JP,1629948127.0
kaitangata,-46.2817,169.8464,38.99,72.0,100.0,3.7,NZ,1629948127.0
tasiilaq,65.6145,-37.6368,37.05,97.0,91.0,2.09,GL,1629948127.0
lodja,-3.4833,23.4333,44.06,77.0,1.0,0.9,CD,1629948128.0
cap malheureux,-19.9842,57.6142,42.94,74.0,0.0,2.24,MU,1629948128.0
butaritari,3.0707,172.7902,48.04,71.0,96.0,6.9,KI,1629948129.0
kiama,-34.6833,150.8667,41.99,56.0,66.0,5.46,AU,1629948129.0
broome,42.2506,-75.833,45.79,83.0,43.0,1.39,US,1629948129.0
grindavik,63.8424,-22.4338,39.76,100.0,90.0,5.14,IS,1629948129.0
paamiut,61.994,-49.6678,35.89,91.0,100.0,2.64,GL,1629948130.0
faya,18.3851,42.4509,42.59,39.0,5.0,1.94,SA,1629948130.0
campbell river,50.0163,-125.2446,44.08,80.0,90.0,2.06,CA,1629948131.0
lompoc,34.6391,-120.4579,43.14,86.0,1.0,3.6,US,1629948131.0
kologriv,58.8275,44.3178,36.48,93.0,42.0,1.19,RU,1629948131.0
kitangari,-10.65,39.3333,41.01,97.0,52.0,0.61,TZ,1629948131.0
mae chan,20.1467,99.8526,48.01,87.0,95.0,0.9,TH,1629948132.0
unity,52.4501,-109.1682,37.94,58.0,0.0,4.13,CA,1629948132.0
havre-saint-pierre,50.2334,-63.5986,41.56,88.0,90.0,1.54,CA,1629948132.0
redmond,47.674,-122.1215,43.42,63.0,100.0,0.89,US,1629948059.0
svetlyy,54.675,20.1347,39.24,92.0,97.0,4.86,RU,1629948133.0
pangnirtung,66.1451,-65.7125,33.76,98.0,100.0,3.44,CA,1629948133.0
miri,4.4148,114.0089,48.16,65.0,40.0,2.06,MY,1629948133.0
beaufort,5.3473,115.7455,47.05,70.0,95.0,1.6,MY,1629948134.0
oussouye,12.485,-16.5469,45.39,89.0,100.0,2.64,SN,1629948134.0
geraldton,-28.7667,114.6,42.68,63.0,75.0,6.69,AU,1629948134.0
vanavara,60.34,102.2797,42.04,51.0,22.0,2.98,RU,1629948135.0
hithadhoo,-0.6,73.0833,47.62,69.0,4.0,3.24,MV,1629948135.0
viking,53.1001,-111.7684,40.88,57.0,3.0,3.69,CA,1629948136.0
karratha,-20.7377,116.8463,48.41,27.0,0.0,3.11,AU,1629948136.0
mookane,-23.688,26.6595,41.4,70.0,35.0,4.43,BW,1629948136.0
margate,51.3813,1.3862,41.04,86.0,100.0,2.68,GB,1629948137.0
pingliang,35.5392,106.6861,44.78,30.0,100.0,1.72,CN,1629948137.0
bitung,1.4451,125.1824,50.59,74.0,99.0,3.42,ID,1629948137.0
clyde river,70.4692,-68.5914,34.43,81.0,98.0,1.95,CA,1629948138.0
sao joao da barra,-21.6403,-41.0511,44.5,81.0,0.0,12.17,BR,1629948138.0
san cristobal,7.7669,-72.225,42.68,98.0,100.0,1.15,VE,1629948139.0
kavaratti,10.5669,72.642,47.42,76.0,99.0,7.66,IN,1629948139.0
mayo,38.8876,-76.5119,47.43,85.0,1.0,0.45,US,1629948139.0
ormara,25.2088,64.6357,46.67,86.0,98.0,8.4,PK,1629948140.0
verkhnevilyuysk,63.4453,120.3167,41.01,83.0,98.0,4.78,RU,1629948140.0
amga,60.8953,131.9608,43.48,42.0,91.0,2.82,RU,1629948140.0
vostok,46.4856,135.8833,44.02,70.0,45.0,3.14,RU,1629948141.0
hami,42.8,93.45,47.28,15.0,89.0,5.43,CN,1629948141.0
lorengau,-2.0226,147.2712,47.61,77.0,100.0,4.04,PG,1629948141.0
praia,14.9215,-23.5087,46.61,89.0,75.0,1.03,CV,1629948142.0
goderich,43.7501,-81.7165,45.99,83.0,35.0,4.12,CA,1629947891.0
asau,46.4333,26.4,39.95,98.0,100.0,0.49,RO,1629948142.0
bengkulu,-3.8004,102.2655,48.01,66.0,40.0,2.16,ID,1629948142.0
arboledas,7.6423,-72.7994,43.57,92.0,100.0,1.22,CO,1629948143.0
rodrigues alves,-7.738,-72.6509,47.59,52.0,60.0,1.13,BR,1629948143.0
turukhansk,65.8167,87.9833,38.11,58.0,98.0,0.87,RU,1629948143.0
jumla,29.2747,82.1838,43.57,81.0,100.0,1.33,NP,1629947712.0
superior,46.7208,-92.1041,42.99,72.0,1.0,2.06,US,1629948144.0
mabaruma,8.2,-59.7833,45.26,95.0,9.0,1.38,GY,1629948144.0
calvia,39.5657,2.5062,43.71,76.0,9.0,0.35,ES,1629948144.0
kulhudhuffushi,6.6221,73.07,47.69,76.0,83.0,9.44,MV,1629948144.0
pasighat,28.0667,95.3333,45.44,100.0,100.0,1.13,IN,1629948145.0
mahibadhoo,3.7833,72.9667,47.39,78.0,98.0,7.43,MV,1629948145.0
namatanai,-3.6667,152.4333,48.47,65.0,46.0,3.82,PG,1629948146.0
potsdam,52.3989,13.0657,40.24,95.0,59.0,4.66,DE,1629948146.0
tiznit,29.5833,-9.5,43.0,71.0,0.0,0.56,MA,1629948146.0
yar-sale,66.8333,70.8333,35.5,96.0,100.0,11.55,RU,1629948147.0
port hedland,-20.3167,118.5667,49.24,12.0,0.0,4.12,AU,1629948147.0
matipo,-20.2839,-42.3411,40.53,70.0,0.0,1.89,BR,1629948147.0
victoria,22.2855,114.1577,49.79,76.0,57.0,0.45,HK,1629947904.0
abu zabad,12.35,29.25,45.02,81.0,58.0,0.58,SD,1629948148.0
harper,4.375,-7.7169,45.56,90.0,100.0,3.69,LR,1629948148.0
tunceli,39.1083,39.5471,42.64,27.0,0.0,1.67,TR,1629948148.0
biskamzha,53.4497,89.5272,42.23,48.0,27.0,4.06,RU,1629948148.0
olinda,-8.0089,-34.8553,45.25,73.0,40.0,5.14,BR,1629948149.0
kerema,-7.9631,145.7785,47.51,76.0,79.0,4.91,PG,1629948149.0
labelle,26.7617,-81.4384,46.81,88.0,16.0,4.0,US,1629948149.0
zabaykalsk,49.6333,117.3167,39.68,88.0,100.0,4.66,RU,1629948150.0
castro,-24.7911,-50.0119,44.44,35.0,95.0,2.89,BR,1629948150.0
iowa city,41.6611,-91.5302,46.24,84.0,1.0,0.0,US,1629948150.0
rio grande,-32.035,-52.0986,39.08,94.0,100.0,7.49,BR,1629948151.0
killarney,52.05,-9.5167,39.39,93.0,9.0,1.0,IE,1629947891.0
simiti,7.9579,-73.9436,46.13,87.0,100.0,1.27,CO,1629948151.0
novo aripuana,-5.1206,-60.3797,46.41,54.0,19.0,1.21,BR,1629948151.0
along,28.1667,94.7667,45.07,99.0,100.0,0.69,IN,1629948152.0
yenagoa,4.9247,6.2642,45.14,96.0,80.0,1.38,NG,1629948152.0
varhaug,58.6147,5.6457,39.08,75.0,1.0,2.82,NO,1629948152.0
stroud,51.75,-2.2,40.96,87.0,91.0,1.84,GB,1629947908.0
kysyl-syr,63.8986,122.7617,40.61,87.0,98.0,4.49,RU,1629948153.0
yambio,4.5721,28.3955,42.26,93.0,49.0,0.86,SS,1629948153.0
mount gambier,-37.8333,140.7667,38.35,62.0,100.0,3.89,AU,1629948153.0
anadyr,64.75,177.4833,39.38,58.0,40.0,9.0,RU,1629948154.0
chokurdakh,70.6333,147.9167,38.65,62.0,80.0,3.08,RU,1629948154.0
sangin,32.0728,64.8359,47.5,13.0,0.0,2.58,AF,1629948154.0
omboue,-1.5746,9.2618,45.49,86.0,100.0,3.51,GA,1629948155.0
ilulissat,69.2167,-51.1,35.89,81.0,40.0,3.09,GL,1629948155.0
caravelas,-17.7125,-39.2481,44.31,83.0,33.0,3.31,BR,1629948155.0
salalah,17.0151,54.0924,46.47,94.0,90.0,3.6,OM,1629948156.0
meulaboh,4.1363,96.1285,47.28,73.0,66.0,0.55,ID,1629948156.0
lagoa,39.05,-27.9833,43.46,66.0,70.0,6.82,PT,1629948156.0
saint george,37.1041,-113.5841,51.95,19.0,1.0,0.45,US,1629948157.0
dunedin,-45.8742,170.5036,39.96,63.0,100.0,1.79,NZ,1629948157.0
vanimo,-2.6741,141.3028,46.91,82.0,100.0,1.66,PG,1629948157.0
port lincoln,-34.7333,135.8667,39.01,52.0,41.0,5.04,AU,1629948158.0
aykhal,66.0,111.5,36.16,90.0,100.0,6.71,RU,1629948158.0
bathsheba,13.2167,-59.5167,47.19,74.0,20.0,6.69,BB,1629948158.0
sorland,67.667,12.6934,38.48,82.0,53.0,3.76,NO,1629948159.0
fortuna,40.5982,-124.1573,40.99,66.0,1.0,0.45,US,1629948159.0
port hardy,50.6996,-127.4199,39.28,94.0,90.0,1.03,CA,1629948160.0
grants,35.1473,-107.8514,45.96,20.0,1.0,0.0,US,1629948161.0
muroto,33.2833,134.15,47.57,85.0,100.0,4.52,JP,1629948161.0
mehamn,71.0357,27.8492,35.32,93.0,0.0,3.09,NO,1629948161.0
marijampole,54.5667,23.35,38.69,81.0,100.0,6.71,LT,1629948162.0
tucupita,9.0622,-62.051,45.18,94.0,29.0,1.77,VE,1629948162.0
tokur,53.1333,132.9,45.15,50.0,18.0,0.96,RU,1629948162.0
barahona,18.2085,-71.1008,46.36,81.0,100.0,2.56,DO,1629948163.0
sao filipe,14.8961,-24.4956,46.16,86.0,100.0,1.3,CV,1629948164.0
lasa,46.6166,10.7002,40.61,88.0,13.0,1.8,IT,1629948164.0
dom pedro,-4.4833,-44.45,44.37,97.0,100.0,1.25,BR,1629948165.0
ukiah,39.1502,-123.2078,46.41,21.0,1.0,1.54,US,1629947968.0
saint-joseph,-21.3667,55.6167,41.02,72.0,16.0,3.68,RE,1629948165.0
